source_path,repo_root,file_type,priority_bucket,matched_terms,selection_reason,size_bytes,mtime_utc
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/hash.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,1679,2026-02-13 17:16:42.577352762+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/help.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,1108,2026-02-13 17:16:42.577395916+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/index.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5520,2026-02-13 17:16:42.577448368+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/inspect.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,3177,2026-02-13 17:16:42.577496767+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/install.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,30588,2026-02-13 17:16:42.577606440+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/list.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,13497,2026-02-13 17:16:42.577689171+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/lock.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,6027,2026-02-13 17:16:42.577749014+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/search.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5782,2026-02-13 17:16:42.577803135+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/show.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,8066,2026-02-13 17:16:42.577861786+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/uninstall.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,3868,2026-02-13 17:16:42.577915668+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/wheel.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5880,2026-02-13 17:16:42.577966213+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/configuration.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,14568,2026-02-13 17:16:42.575633526+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/distributions/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,858,2026-02-13 17:16:42.578025103+00:00
